,city,area,geoarea,population,climate_class,builtup_area,income_group,orientation_entropy,walk_prox_poi_mean,walk_prox_poi_median,walk_prox_poi_range,walk_prox_poi_std,walk_prox_poi_iqr,walk_prox_pub_transport_mean,walk_prox_pub_transport_median,walk_prox_pub_transport_range,walk_prox_pub_transport_std,walk_prox_pub_transport_iqr,walk_circuity,walk_street_len_mean,walk_street_len_median,walk_street_len_range,walk_street_len_std,walk_street_len_iqr,walk_street_density,walk_street_len_total,walk_link_node_ratio,walk_intersection_density,walk_intersection_count,bike_prox_poi_mean,bike_prox_poi_median,bike_prox_poi_range,bike_prox_poi_std,bike_prox_poi_iqr,bike_slope_mean,bike_slope_median,bike_slope_range,bike_slope_std,bike_slope_iqr,bike_circuity,bike_street_len_mean,bike_street_len_median,bike_street_len_range,bike_street_len_std,bike_street_len_iqr,bike_street_density,bike_street_len_total,bike_link_node_ratio,bike_intersection_density,bike_intersection_count
53,addis_ababa,465,SA,7280462.518,12.0,110.396125,Low income,3.5653631075649,10.753797559601043,9.0,37,8.547760470506619,13.0,2.416637177420412,0.0,67,4.576487668954646,3.0,1.049820800834638,77.38590915062423,57.98112895913954,2916.439303207584,73.12183845920325,57.07629883512594,17063.01049312764,7934299.879304352,1.4039240357016474,163.01075268817203,75800,26.76554509105884,26.0,52,12.285836415256112,19.0,0.0531397113827885,0.0365578886299446,0.9799114835260574,0.0618544206850218,0.0586338684327891,1.0494462825599529,76.41074386004011,57.85297764952321,2916.439303207584,69.14112078943025,55.67020488989591,31554.67937895037,14672925.911211925,1.4040993079263029,135.55268817204302,63032
54,suva,77,OC,242909.9953,1.0,22.561054,Upper Middle,3.571910286075158,10.693251533742332,9.0,35,8.604284818588308,12.0,2.214723926380368,0.0,19,3.2282634722839374,4.0,1.0819320006256683,115.04132050004596,85.36674830174132,1236.0994351486595,104.68288799557712,99.67081570218672,6437.831818632442,495713.0500346981,1.140081799591002,49.298701298701296,3796,25.33858681376412,26.0,42,11.705413105923032,22.0,0.0464126937764225,0.0318701375586164,0.9325420239896484,0.0574259690474608,0.0508279118355057,1.076988052753362,115.80003123546172,86.81624043839578,1236.0994351486595,102.9967722632987,100.24565367558932,12008.613628768337,924663.249415162,1.1342264250065668,30.83116883116883,2374
55,helsinki,381,EU,1001124.665,26.0,49.116045,High income,3.5731595008970864,26.68570012664501,26.0,59,11.99354206569003,15.0,8.184663105922949,7.0,95,7.65634214202257,7.0,1.049068327278434,40.73993695132627,28.17596318408895,1349.4885740301686,39.54312109184483,32.36731786395305,24736.30597033625,9424532.574698113,1.2832957069177542,608.2860892388452,231757,43.05247225666953,43.0,69,11.278733622091506,10.0,0.0466949034872788,0.0261798220194394,0.9970519672031386,0.0715878991951027,0.0638973155682745,1.0521820548677838,47.67069687682339,33.675723883644736,1349.4880696891316,45.13872372492118,39.57231765524078,38945.83326891093,14838362.475455064,1.2305383319024452,286.86876640419945,109297
56,paris,1421,EU,9328384.716,15.0,358.748204,High income,3.58133609532093,35.67726359355787,35.0,76,15.386902540081511,20.0,12.736226494316648,10.0,127,11.400684776530904,14.0,1.061296722895388,59.98320483403084,39.19422727599792,2690.955046047741,66.82971314310042,54.9376762543679,21447.731487228524,30477226.44335173,1.3301954197988466,319.6277269528501,454191,50.712381940840686,51.0,89,12.79094053547906,10.0,0.0326853490567706,0.0162602337635812,0.999855181259116,0.0549710423217426,0.0431308545516024,1.0611005545434282,72.73185226876564,50.15129139824534,3172.1602955200574,77.89711233556254,67.17535194502531,29678.43449336937,42173055.41507787,1.3476699532952776,161.5207600281492,229521
57,libreville,196,SA,917056.3782,2.0,51.791458,Upper Middle,3.575652730992608,9.551473049882826,8.0,32,8.050161537275125,12.0,0.1917475728155339,0.0,7,0.6411632009932953,0.0,1.08651482102544,116.73203807554113,82.49479314844214,2248.3018732415867,120.23732519778154,102.09933634526608,8159.926804454026,1599345.653672989,1.201121526615333,59.44897959183673,11652,22.455874718809483,20.0,46,11.566868106848457,18.0,0.0335171263714869,0.02239893425643,0.7050618974797093,0.0431226717813919,0.0383412132424615,1.0849272132871637,118.96621805979017,85.91763411788097,2248.3018732415867,118.02141372432722,101.91054026162712,14963.643744020445,2932874.1738280067,1.195362519467036,39.224489795918366,7688
58,serrekunda,181,SA,1313464.797,3.0,42.486979,Low income,3.419121184234239,4.861023492302622,3.0,30,5.341233610925281,6.0,0.0423708864931029,0.0,3,0.2515304318091286,0.0,1.0261320835187724,87.74078068950001,73.86041647976911,2086.803162001304,67.24977455676525,58.23074014498073,14762.74991777919,2672057.7351180334,1.4767195518101783,116.62983425414365,21110,17.53736620795107,18.0,39,10.519497287677943,19.0,0.0224768090373384,0.0160323587883322,0.8106487083297949,0.0287605601511355,0.0308728952479707,1.0244562932285723,87.697960417459,74.20913517811314,2086.8031620013044,64.4442840791021,57.87419917026658,28896.235697993576,5230218.661336837,1.4810301987767585,102.49171270718232,18551
59,tbilisi,151,NW,988277.7269,7.0,35.481083,Upper Middle,3.561348620225945,30.581255448997386,31.0,57,13.443948574081851,19.0,5.620348735832607,5.0,33,4.6353082828989365,7.0,1.0893458259815247,58.377873506991,39.94807749350422,2391.6143299699684,63.22953966064084,49.76278350896087,23065.832378636405,3482940.689174097,1.2967741935483872,327.2317880794702,49412,48.98155844155844,47.0,73,12.70728894676023,16.0,0.0511264398385382,0.0314066497075845,0.9852566610294506,0.0721367853332894,0.0668870812632534,1.0930535876680203,68.39754545557024,49.802572909848095,2191.0256132907853,66.47209680422964,56.02065909598928,38155.865158910034,5761535.638995415,1.2576623376623377,184.87417218543047,27916
60,berlin,681,EU,3549996.965,15.0,149.406188,High income,3.571966631599006,33.80666812946929,34.0,62,12.605989185731955,17.0,8.34424246515998,7.0,88,7.3616614063231935,9.0,1.041768553809759,51.60944959841692,33.272764053416715,1884.8076939434927,55.03910962718172,45.33734297720754,24407.63198959493,16621597.384914149,1.2952216989889784,410.496328928047,279548,50.94411078244904,48.0,79,13.148580530203697,17.0,0.0315488967141897,0.0116623385438148,0.999230138280603,0.0572715452491225,0.0405286345315714,1.0513712435018543,64.65086131255975,42.21703691116099,2550.799595005264,71.4403280719425,60.17448500475207,27437.502761419724,18684939.38052684,1.1866093874685757,157.08516886930985,106975
61,accra,1121,SA,5890466.043,3.0,338.40001,Lower Middle,3.5425966371956,8.176668813371474,6.0,36,7.747392549109746,11.0,1.3378738636193444,0.0,44,3.1153668419458653,1.0,1.053160359540814,93.27794388596446,73.31727777870258,5701.075407188473,82.01306971389343,70.83181345288196,14145.546104076782,15857157.182670074,1.3107804520061703,117.99197145405888,132269,22.63784626273426,21.0,51,12.46328718941462,21.0,0.0286505892792306,0.020526425701067,0.9605584470706482,0.0350021755685467,0.0332839755086042,1.0514526307448404,93.3551038371049,73.61275061757024,5701.075407188472,79.44122109085825,70.36973745550597,27515.85472668168,30845273.14861016,1.3099893834095069,91.92863514719,103052
62,athens,412,EU,3166757.394,8.0,115.204997,High income,3.542136558067702,31.530288735327368,32.0,66,12.464259643137094,16.0,13.16478397973668,12.0,64,9.405297253846934,13.0,1.0337613920921886,61.11837360217218,49.34851557617815,2219.6429749760773,51.606855822697305,47.89534180246488,23658.29937001947,9747219.340448022,1.5182531385198597,269.9514563106796,111220,51.066528761570446,52.0,75,11.302167352595175,12.0,0.0552614957296647,0.0362886069282857,0.9979042890770858,0.0702406027713,0.0622182432997797,1.035437305541732,66.04279415874679,52.89816957702286,2219.641756257939,56.30745304479501,48.56947669637131,33495.07779961392,13799972.053440936,1.5363567980944024,207.9271844660194,85666
